filename,skill_name,category,conductive_relevant,complexity,notes
air_quality_lookup.py,air_quality_lookup,other,no,low,Air quality operation to perform.
artifact_registry_manager.py,artifact_registry_manager,other,no,low,Operation to perform.
audit_kraken.py,audit_kraken,other,maybe,high,Retrieves live Kraken exchange balances for TON; SOL; and USDC; converts to USD; and returns a structured balance report
bigquery_query.py,bigquery_query,other,no,low,Operation to perform.
cloud_build_trigger.py,cloud_build_trigger,other,no,medium,Manually trigger a Google Cloud Build build from a trigger ID or repo/branch. Returns the build ID and log URL for monit
cloud_run_deploy.py,cloud_run_deploy,other,no,low,Operation to perform.
docker_cleanup.py,docker_cleanup,other,no,low,Cleanup operation to perform.
firebase_ai_logic_list_prompts.py,firebase_ai_logic_list_prompts,other,no,medium,List Firebase AI Logic server-side prompt templates for a project. Returns template IDs; model configurations; and syste
firebase_ai_logic_run_prompt.py,firebase_ai_logic_run_prompt,other,no,high,Execute a Firebase AI Logic prompt template with provided variables. Returns the model's text response.
firebase_app_distribution_upload.py,firebase_app_distribution_upload,investor-relations,yes,medium,Upload a build artifact to Firebase App Distribution and notify testers. Returns the release name and download URL.
firebase_app_hosting_list_sites.py,firebase_app_hosting_list_sites,other,no,medium,List Firebase App Hosting backends for a project. Returns backend ID; repository URL; deploy status; and live URL.
firebase_auth_create_user.py,firebase_auth_create_user,other,no,medium,Create a new Firebase Auth user account. Returns the user's UID; email; and creation time.
firebase_auth_get_user.py,firebase_auth_get_user,other,no,medium,Look up a Firebase Auth user by UID or email address. Returns user profile data.
firebase_auth_revoke_tokens.py,firebase_auth_revoke_tokens,other,no,medium,Revoke all refresh tokens for a Firebase Auth user; forcing them to re-authenticate. Returns the user UID and revocation
firebase_crashlytics_get_issue.py,firebase_crashlytics_get_issue,other,no,medium,Get detailed information about a specific Firebase Crashlytics issue including stack trace summary and affected versions
firebase_crashlytics_list_issues.py,firebase_crashlytics_list_issues,other,no,medium,List crash issues from Firebase Crashlytics for a given app. Returns issue ID; title; impact (users affected); and last
firebase_dynamic_links_create.py,firebase_dynamic_links_create,other,no,medium,Create a Firebase Dynamic Link (short URL) that routes users to the correct app or web destination based on their platfo
firebase_extensions_list.py,firebase_extensions_list,other,no,low,List all installed Firebase Extensions in a project. Returns extension instance ID; state; extension reference; and conf
firebase_fcm_data_analytics.py,firebase_fcm_data_analytics,other,no,medium,Get Firebase Cloud Messaging delivery analytics data — send counts; delivery rates; and open rates for a date range.
firebase_fcm_send.py,firebase_fcm_send,other,no,low,Send a single FCM push notification to a device registration token; topic; or condition. Returns message_id on success.
firebase_fcm_send_multicast.py,firebase_fcm_send_multicast,other,no,high,Send FCM push notification to up to 500 device tokens simultaneously. Returns success_count; failure_count; and per-toke
firebase_firestore_read.py,firebase_firestore_read,other,no,medium,Read a Firestore document by collection+document ID; or query a collection with optional filters. Returns document data
firebase_firestore_write.py,firebase_firestore_write,other,no,low,Set; update; or delete a Firestore document. Use operation='set' to replace; 'update' to merge fields; 'delete' to remov
firebase_hosting_deploy.py,firebase_hosting_deploy,other,no,medium,Deploy files to a Firebase Hosting site or channel via the Firebase Hosting REST API. Returns the channel URL and releas
firebase_hosting_list_releases.py,firebase_hosting_list_releases,other,no,medium,List release history for a Firebase Hosting site or channel. Returns list of releases with version; create_time; and sta
firebase_in_app_messaging_list.py,firebase_in_app_messaging_list,other,no,medium,List active Firebase In-App Messaging campaigns for a project. Returns campaign names; trigger conditions; and message c
firebase_ml_get_model.py,firebase_ml_get_model,other,no,high,Get details of a specific Firebase ML model including its download URI for TFLite deployment.
firebase_ml_list_models.py,firebase_ml_list_models,other,no,high,List ML models hosted in Firebase ML for a project. Returns model ID; display name; creation time; and download URI.
firebase_realtime_db_delete.py,firebase_realtime_db_delete,other,no,medium,Delete a node from Firebase Realtime Database at the given path.
firebase_realtime_db_read.py,firebase_realtime_db_read,other,no,medium,Read a value from Firebase Realtime Database at the given path. Returns the value as JSON.
firebase_realtime_db_write.py,firebase_realtime_db_write,other,no,medium,Write or update a value in Firebase Realtime Database at the given path. Use method='set' to replace; 'update' to merge;
firebase_remote_config_get.py,firebase_remote_config_get,other,no,medium,Get the current Firebase Remote Config template; including all parameters; parameter groups; and conditions.
firebase_remote_config_set.py,firebase_remote_config_set,other,no,medium,Publish a new Firebase Remote Config template. Merges provided parameters with existing config. Returns the new version
firebase_storage_upload.py,firebase_storage_upload,other,no,medium,Upload a base64-encoded file to Firebase Cloud Storage. Returns the storage path and a signed download URL valid for 7 d
gcp_secret_manager.py,gcp_secret_manager,other,no,low,Operation to perform.
geocoding_lookup.py,geocoding_lookup,other,no,low,The geocoding operation to perform.
ghost_ledger.py,ghost_ledger,reconciliation,yes,low,Operation to perform on the ledger.
log_integrity.py,log_integrity,other,no,low,Operation to perform.
places_search.py,places_search,other,no,low,Places operation to perform.
pubsub_publisher.py,pubsub_publisher,other,no,low,The Pub/Sub operation to perform.
reconcile.py,reconcile,reconciliation,yes,medium,Full URL of the active Ghost Ledger Google Spreadsheet.
route_optimizer.py,route_optimizer,other,no,low,The routing operation to perform.
skill_builder.py,skill_builder,other,no,low,snake_case module name for the new skill (e.g.
slack_alert.py,slack_alert,other,no,low,Operation:
thunder_signal.py,thunder_signal,other,no,medium,Alert severity tier.
vertex_ai_inference.py,vertex_ai_inference,other,no,low,Operation: generate text; analyze input; or create embeddings.
weather_lookup.py,weather_lookup,other,no,low,Weather operation to perform.
a2a/a2a_request_handler.py,a2a_request_handler,infrastructure,no,medium,Performs JSON-RPC compliance checks and bearer-token auth for A2A requests.
a2a/a2a_response_builder.py,a2a_response_builder,infrastructure,no,low,Constructs JSON-RPC envelopes for outbound A2A traffic.
accounting/accounts_receivable_turnover_calculator.py,accounts_receivable_turnover_calculator,fund-accounting,yes,low,Total net credit sales for the period.
accounting/asset_turnover_calculator.py,asset_turnover_calculator,fund-accounting,yes,low,Net sales (revenue) for the period.
accounting/balance_sheet_generator.py,balance_sheet_generator,fund-accounting,yes,low,Groups trial balance entries into a balance sheet (A=L+E validation).
accounting/cash_conversion_cycle_calculator.py,cash_conversion_cycle_calculator,fund-accounting,yes,low,Days inventory outstanding (DIO).
accounting/cash_ratio_calculator.py,cash_ratio_calculator,fund-accounting,yes,low,Cash and cash equivalents.
accounting/chart_of_accounts.py,chart_of_accounts,fund-accounting,yes,medium,Adds or searches accounts across the Stonewater standard chart.
accounting/current_ratio_calculator.py,current_ratio_calculator,fund-accounting,yes,low,Total current assets.
accounting/debt_service_coverage_calculator.py,debt_service_coverage_calculator,fund-accounting,yes,low,Net operating income for the period.
accounting/debt_to_assets_calculator.py,debt_to_assets_calculator,fund-accounting,yes,low,Total debt (short-term + long-term).
accounting/debt_to_equity_calculator.py,debt_to_equity_calculator,fund-accounting,yes,low,Total debt (short-term + long-term).
accounting/depreciation_declining_balance_calculator.py,depreciation_declining_balance_calculator,fund-accounting,yes,low,Original cost of the asset.
accounting/depreciation_straight_line_calculator.py,depreciation_straight_line_calculator,fund-accounting,yes,low,Original cost of the asset.
accounting/depreciation_sum_of_years_calculator.py,depreciation_sum_of_years_calculator,fund-accounting,yes,low,Original cost of the asset.
accounting/depreciation_units_of_production_calculator.py,depreciation_units_of_production_calculator,fund-accounting,yes,low,Original cost of the asset.
accounting/dupont_analysis_calculator.py,dupont_analysis_calculator,fund-accounting,yes,low,Net income for the period.
accounting/ebitda_calculator.py,ebitda_calculator,fund-accounting,yes,low,Net income for the period.
accounting/equity_multiplier_calculator.py,equity_multiplier_calculator,fund-accounting,yes,medium,Total assets.
accounting/fixed_asset_turnover_calculator.py,fixed_asset_turnover_calculator,fund-accounting,yes,low,Net sales (revenue) for the period.
accounting/free_cash_flow_calculator.py,free_cash_flow_calculator,fund-accounting,yes,low,Cash flow from operations.
accounting/gross_profit_margin_calculator.py,gross_profit_margin_calculator,fund-accounting,yes,low,Total revenue.
accounting/interest_coverage_calculator.py,interest_coverage_calculator,fund-accounting,yes,low,Earnings before interest and taxes.
accounting/inventory_turnover_calculator.py,inventory_turnover_calculator,fund-accounting,yes,low,Cost of goods sold for the period.
accounting/journal_entry_builder.py,journal_entry_builder,fund-accounting,yes,low,Builds balanced journal entries and assigns sequential IDs.
accounting/net_profit_margin_calculator.py,net_profit_margin_calculator,fund-accounting,yes,low,Net income for the period.
